image_path,class_id,class_name,trajectory_id,fish_id
fish_image\fish_01\fish_000000029598_05280.png,0,fish_01,000000029598,05280
fish_image\fish_01\fish_000000029598_05282.png,0,fish_01,000000029598,05282
fish_image\fish_01\fish_000000029598_05284.png,0,fish_01,000000029598,05284
fish_image\fish_01\fish_000000029598_05286.png,0,fish_01,000000029598,05286
fish_image\fish_01\fish_000000029598_05289.png,0,fish_01,000000029598,05289
fish_image\fish_01\fish_000000029598_05290.png,0,fish_01,000000029598,05290
fish_image\fish_01\fish_000000029598_05293.png,0,fish_01,000000029598,05293
fish_image\fish_01\fish_000000029598_05296.png,0,fish_01,000000029598,05296
fish_image\fish_01\fish_000000029598_05300.png,0,fish_01,000000029598,05300
fish_image\fish_01\fish_000000029598_05302.png,0,fish_01,000000029598,05302
fish_image\fish_01\fish_000000029598_05306.png,0,fish_01,000000029598,05306
fish_image\fish_01\fish_000000029598_05309.png,0,fish_01,000000029598,05309
fish_image\fish_01\fish_000000029598_05311.png,0,fish_01,000000029598,05311
fish_image\fish_01\fish_000000029598_05314.png,0,fish_01,000000029598,05314
fish_image\fish_01\fish_000000029598_05315.png,0,fish_01,000000029598,05315
fish_image\fish_01\fish_000000029598_05317.png,0,fish_01,000000029598,05317
fish_image\fish_01\fish_000000029598_05318.png,0,fish_01,000000029598,05318
fish_image\fish_01\fish_000000029598_05321.png,0,fish_01,000000029598,05321
fish_image\fish_01\fish_000000029598_05325.png,0,fish_01,000000029598,05325
fish_image\fish_01\fish_000000029598_05331.png,0,fish_01,000000029598,05331
fish_image\fish_01\fish_000000029598_05332.png,0,fish_01,000000029598,05332
fish_image\fish_01\fish_000000029598_05335.png,0,fish_01,000000029598,05335
fish_image\fish_01\fish_000000029598_05341.png,0,fish_01,000000029598,05341
fish_image\fish_01\fish_000000029598_05345.png,0,fish_01,000000029598,05345
fish_image\fish_01\fish_000000029598_05347.png,0,fish_01,000000029598,05347
fish_image\fish_01\fish_000000029598_05348.png,0,fish_01,000000029598,05348
fish_image\fish_01\fish_000000029598_05350.png,0,fish_01,000000029598,05350
fish_image\fish_01\fish_000000029598_05353.png,0,fish_01,000000029598,05353
fish_image\fish_01\fish_000000029598_05355.png,0,fish_01,000000029598,05355
fish_image\fish_01\fish_000000029598_05358.png,0,fish_01,000000029598,05358
fish_image\fish_01\fish_000000029598_05361.png,0,fish_01,000000029598,05361
fish_image\fish_01\fish_000000039598_05291.png,0,fish_01,000000039598,05291
fish_image\fish_01\fish_000000039598_05297.png,0,fish_01,000000039598,05297
fish_image\fish_01\fish_000000039598_05299.png,0,fish_01,000000039598,05299
fish_image\fish_01\fish_000000039598_05301.png,0,fish_01,000000039598,05301
fish_image\fish_01\fish_000000039598_05307.png,0,fish_01,000000039598,05307
fish_image\fish_01\fish_000000039598_05310.png,0,fish_01,000000039598,05310
fish_image\fish_01\fish_000000039598_05312.png,0,fish_01,000000039598,05312
fish_image\fish_01\fish_000000039598_05319.png,0,fish_01,000000039598,05319
fish_image\fish_01\fish_000000039598_05322.png,0,fish_01,000000039598,05322
fish_image\fish_01\fish_000000039598_05324.png,0,fish_01,000000039598,05324
fish_image\fish_01\fish_000000039598_05328.png,0,fish_01,000000039598,05328
fish_image\fish_01\fish_000000039598_05330.png,0,fish_01,000000039598,05330
fish_image\fish_01\fish_000000039598_05338.png,0,fish_01,000000039598,05338
fish_image\fish_01\fish_000000039598_05342.png,0,fish_01,000000039598,05342
fish_image\fish_01\fish_000000039598_05343.png,0,fish_01,000000039598,05343
fish_image\fish_01\fish_000000039598_05344.png,0,fish_01,000000039598,05344
fish_image\fish_01\fish_000000039598_05346.png,0,fish_01,000000039598,05346
fish_image\fish_01\fish_000000039598_05354.png,0,fish_01,000000039598,05354
fish_image\fish_01\fish_000000039598_05356.png,0,fish_01,000000039598,05356
fish_image\fish_01\fish_000000479598_05292.png,0,fish_01,000000479598,05292
fish_image\fish_01\fish_000000589598_05294.png,0,fish_01,000000589598,05294
fish_image\fish_01\fish_000000589598_05295.png,0,fish_01,000000589598,05295
fish_image\fish_01\fish_000000589598_05298.png,0,fish_01,000000589598,05298
